tconst	ordering	nconst	category	job	characters
tt0001013	10	nm0366511	actress	""	"[""Indian""]"
tt0001013	1	nm0601698	actor	""	"[""Silver Eagle""]"
tt0001013	2	nm0681931	actress	""	"[""Minnewanna""]"
tt0001013	3	nm0115524	actress	""	"[""Indian""]"
tt0001013	4	nm0185803	actor	""	"[""Conqueror""]"
tt0001013	5	nm0000428	director	""	""
tt0001013	6	nm0940488	writer	""	""
tt0001013	7	nm0005658	cinematographer	""	""
tt0001013	8	nm0262757	actor	""	"[""Conqueror""]"
tt0001013	9	nm0354803	actress	""	"[""Indian""]"
tt0001014	10	nm0424530	actor	""	""
tt0001014	1	nm0681933	actress	""	"[""Kittie Ryan""]"
tt0001014	2	nm0642722	actor	""	"[""Steve Ryan - Kittie's Uncle""]"
tt0001014	3	nm0456804	actor	""	"[""Joe Fielding""]"
tt0001014	4	nm0813603	actor	""	"[""Sam Walters""]"
tt0001014	5	nm0000428	director	""	""
tt0001014	6	nm0005658	cinematographer	""	""
tt0001014	7	nm0555522	cinematographer	""	""
tt0001014	8	nm0704334	actor	""	"[""Kittie's Fiancé""]"
tt0001014	9	nm0041858	actor	""	""
tt0001015	10	nm0262757	actor	""	"[""Servant""]"
tt0001015	1	nm0456804	actor	""	"[""Mr. Morley""]"
tt0001015	2	nm0502701	actress	""	"[""Mrs. Morley""]"
tt0001015	3	nm0601698	actor	""	"[""Jack""]"
tt0001015	4	nm0681933	actress	""	"[""Alice Ashford""]"
tt0001015	5	nm0000428	director	""	""
tt0001015	6	nm0005658	cinematographer	""	""
tt0001015	7	nm0629589	actor	""	"[""The Doctor""]"
tt0001015	8	nm0038106	actress	""	""
tt0001015	9	nm0115524	actress	""	"[""Servant""]"
tt0001016	10	nm0784407	actor	""	"[""At Court"",""A Guard"",""At Inn""]"
tt0001016	1	nm0424530	actor	""	"[""Prince Dmitri""]"
tt0001016	2	nm0492757	actress	""	"[""Katucha""]"
tt0001016	3	nm0502701	actress	""	"[""A Prisoner""]"
tt0001016	4	nm0601698	actor	""	"[""At Court"",""At Prison""]"
tt0001016	5	nm0000428	director	""	""
tt0001016	6	nm0866243	writer	"novel ""Voskreseniye"""	""
tt0001016	7	nm0940488	writer	""	""
tt0001016	8	nm0005658	cinematographer	""	""
tt0001016	9	nm0555522	cinematographer	""	""
tt0001017	1	nm0088881	actor	""	"[""Montaloup""]"
tt0001017	2	nm5227669	actress	""	"[""Leontine""]"
tt0001017	3	nm0583207	actor	""	"[""Erneste des Tressailles""]"
tt0001017	4	nm0772797	actor	""	"[""Marc-Arron""]"
tt0001017	5	nm0711337	director	""	""
tt0001017	6	nm0584273	writer	play	""
tt0001017	7	nm0333175	cinematographer	""	""
tt0001017	8	nm0927689	actress	""	"[""Aleine de l'Estoile""]"
tt0001018	1	nm0007221	actor	""	""
tt0001018	2	nm0401967	actor	""	""
tt0001018	3	nm0949648	actor	""	""
tt0001018	4	nm0949403	actress	""	""
tt0001018	5	nm0085865	director	""	""
tt0001018	6	nm0120272	writer	"play ""Richelieu"""	""
tt0001018	7	nm0612348	writer	""	""
tt0001018	8	nm0448682	actor	""	""
tt0001019	1	nm0001908	actor	""	""
tt0001020	10	nm0424530	actor	""	"[""Cowboy""]"
tt0001020	1	nm0587097	actor	""	"[""Miguel - A Wealthy Ranchero""]"
tt0001020	2	nm0376829	actress	""	"[""Vinuella - Miguel's Wife""]"
tt0001020	3	nm0492757	actress	""	"[""Mexican Woman""]"
tt0001020	4	nm0949133	actor	""	"[""Jose - A Poor Mexican""]"
tt0001020	5	nm0000428	director	""	""
tt0001020	6	nm0555522	cinematographer	""	""
tt0001020	7	nm0173994	actor	""	"[""Chinese Man""]"
tt0001020	8	nm0784407	actor	""	"[""Cowpuncher""]"
tt0001020	9	nm0102858	actress	""	""
tt0001021	1	nm0294276	director	""	""
tt0001021	2	nm0378408	producer	producer	""
tt0001022	1	nm0298301	actress	""	""
tt0001022	2	nm0789748	actor	""	""
tt0001022	3	nm0112898	actor	""	""
tt0001022	4	nm1263721	actress	""	"[""Helen""]"
tt0001022	5	nm0205986	director	""	""
tt0001022	6	nm0581683	writer	writer	""
tt0001023	10	nm0409390	actor	""	"[""Nobleman""]"
tt0001023	1	nm0813603	actor	""	"[""Monsieur Flamant""]"
tt0001023	2	nm0502701	actress	""	"[""The Blind Sculptress""]"
tt0001023	3	nm0038106	actress	""	"[""Noblewoman"",""Sculptress's Friend""]"
tt0001023	4	nm0173994	actor	""	"[""Nobleman""]"
tt0001023	5	nm0000428	director	""	""
tt0001023	6	nm0005658	cinematographer	""	""
tt0001023	7	nm0214651	actress	""	"[""Sculptress's Model""]"
tt0001023	8	nm0250676	actress	""	"[""Child""]"
tt0001023	9	nm0376829	actress	""	"[""Noblewoman""]"
tt0001024	1	nm0502701	actress	""	"[""Mrs. Leffingwell""]"
tt0001024	2	nm0424530	actor	""	"[""The Gentleman Burglar""]"
tt0001024	3	nm0376829	actress	""	"[""Visitor""]"
tt0001024	4	nm0534221	actress	""	"[""Maid (unconfirmed)""]"
tt0001024	5	nm0000428	director	""	""
tt0001024	6	nm0005658	cinematographer	""	""
tt0001024	7	nm0601698	actor	""	"[""Footman""]"
tt0001024	8	nm0288616	actor	""	"[""Visitor""]"
tt0001024	9	nm0784407	actor	""	"[""Policeman""]"
tt0001025	10	nm0601698	actor	""	"[""In Crowd""]"
tt0001025	1	nm0038106	actress	""	"[""Cynthia Stebbins""]"
tt0001025	2	nm0311375	actor	""	"[""Hank Hopkins""]"
tt0001025	3	nm0813603	actor	""	"[""Hungry Henry""]"
tt0001025	4	nm0587097	actor	""	"[""Dad Stebbins""]"
tt0001025	5	nm0000428	director	""	""
tt0001025	6	nm0005658	cinematographer	""	""
tt0001025	7	nm0173994	actor	""	"[""In Crowd""]"
tt0001025	8	nm0373341	actor	""	""
tt0001025	9	nm0502701	actress	""	"[""In Crowd""]"
tt0001026	1	nm0401967	actor	""	""
tt0001026	2	nm0007221	actor	""	""
tt0001026	3	nm0037789	actress	""	""
tt0001026	4	nm0012317	actor	""	""
tt0001026	5	nm0085865	director	""	""
tt0001026	6	nm0401076	writer	play	""
tt0001026	7	nm0612348	writer	scenario	""
tt0001027	10	nm0502701	actress	""	"[""At Wigmaker's""]"
tt0001027	1	nm0813603	actor	""	"[""Mr. Hardluck""]"
tt0001027	2	nm0492757	actress	""	"[""Mrs. Hardluck""]"
tt0001027	3	nm0038106	actress	""	"[""At Wigmaker's""]"
tt0001027	4	nm0173994	actor	""	"[""At Jeweler's""]"
tt0001027	5	nm0000428	director	""	""
tt0001027	6	nm0377958	writer	"story ""The Gift of the Magi"""	""
tt0001027	7	nm0005658	cinematographer	""	""
tt0001027	8	nm0311375	actor	""	"[""At Jeweler's"",""At Pawnshop""]"
tt0001027	9	nm0424530	actor	""	"[""At Wigmaker's""]"
tt0001028	1	nm0294276	director	""	""
tt0001028	2	nm0378408	producer	producer	""
tt0001029	10	nm0054884	actress	""	""
tt0001029	1	nm0492757	actress	""	"[""Mary Wilson""]"
tt0001029	2	nm0813603	actor	""	"[""Bob Walton""]"
tt0001029	3	nm0409390	actor	""	"[""Harry Brown"",""In Factory"",""In Street Crowds""]"
tt0001029	4	nm0038106	actress	""	"[""In First Bar"",""In Factory""]"
tt0001029	5	nm0000428	director	""	""
tt0001029	6	nm0791017	writer	based on a play by	""
tt0001029	7	nm0005658	cinematographer	""	""
tt0001029	8	nm0555522	cinematographer	""	""
tt0001029	9	nm0043018	actor	""	"[""In First Bar"",""In Factory""]"
tt0001030	1	nm0007221	actor	""	"[""David""]"
tt0001030	2	nm0710362	actor	""	"[""King Saul""]"
tt0001030	3	nm0492757	actress	""	""
tt0001030	4	nm0085865	director	""	""
tt0001030	5	nm0676645	writer	writer	""
tt0001031	10	nm0102858	actress	""	""
tt0001031	1	nm0173994	actor	""	"[""Mr. Schneider""]"
tt0001031	2	nm0492757	actress	""	"[""Mrs. Schneider""]"
tt0001031	3	nm0376829	actress	""	"[""Lena""]"
tt0001031	4	nm0424530	actor	""	"[""The Violinist""]"
tt0001031	5	nm0000428	director	""	""
tt0001031	6	nm0005658	cinematographer	""	""
tt0001031	7	nm0555522	cinematographer	""	""
tt0001031	8	nm0601698	actor	""	"[""First Thief""]"
tt0001031	9	nm0697944	actor	""	"[""Second Thief""]"
tt0001032	10	nm0125164	actor	""	"[""Nobleman at Court""]"
tt0001032	1	nm0424530	actor	""	"[""The Count""]"
tt0001032	2	nm0502701	actress	""	"[""The Countess""]"
tt0001032	3	nm0910400	actor	""	"[""The Minstrel""]"
tt0001032	4	nm0038106	actress	""	"[""A Lady-in-Waiting""]"
tt0001032	5	nm0000428	director	""	""
tt0001032	6	nm0000590	writer	"novel ""The Cask of Amontillado"""	""
tt0001032	7	nm0940488	writer	""	""
tt0001032	8	nm0051304	writer	"story ""La Grande Breteche"""	""
tt0001032	9	nm0005658	cinematographer	""	""
tt0001033	10	nm0043018	actor	""	"[""The Judge's Butler""]"
tt0001033	1	nm0456804	actor	""	"[""Mr. Herne""]"
tt0001033	2	nm0455237	actress	""	"[""Mrs. Herne""]"
tt0001033	3	nm0250676	actress	""	"[""One of the Herne Children""]"
tt0001033	4	nm0849803	actor	""	"[""One of the Herne Children""]"
tt0001033	5	nm0000428	director	""	""
tt0001033	6	nm0005658	cinematographer	""	""
tt0001033	7	nm0681933	actress	""	"[""Mrs.Herne's First Maid""]"
tt0001033	8	nm0288616	actor	""	"[""The Judge""]"
tt0001033	9	nm0784407	actor	""	"[""The Judge's Clerk""]"
tt0001034	1	nm0001908	actor	""	""
tt0001035	1	nm0002615	producer	producer	""
tt0001036	1	nm0088881	actor	""	""
tt0001036	2	nm0488932	actor	""	""
tt0001036	3	nm0526168	actor	""	""
tt0001036	4	nm0684773	actor	""	""
tt0001036	5	nm0333175	cinematographer	""	""
tt0001037	1	nm0390479	actor	""	""
tt0001037	2	nm0488932	actor	""	""
tt0001037	3	nm0526168	actor	""	""
tt0001037	4	nm0684773	actor	""	""
tt0001037	5	nm0333175	cinematographer	""	""
tt0001039	1	nm0294276	director	""	""
tt0001039	2	nm0378408	producer	producer	""
tt0001040	1	nm0298301	actress	""	""
tt0001040	2	nm0111753	director	""	""
tt0001041	10	nm0250676	actress	""	"[""A Child""]"
tt0001041	1	nm0492757	actress	""	"[""Nerada""]"
tt0001041	2	nm0456804	actor	""	"[""Alachus - Nerada's Husband""]"
tt0001041	3	nm0813603	actor	""	"[""Deletius - the Patrician Rival""]"
tt0001041	4	nm0910400	actor	""	"[""Alachus' Friend""]"
tt0001041	5	nm0000428	director	""	""
tt0001041	6	nm0005658	cinematographer	""	""
tt0001041	7	nm0288616	actor	""	"[""Deletius' Slave Master""]"
tt0001041	8	nm0115524	actress	""	"[""Mourning Woman""]"
tt0001041	9	nm0125164	actor	""	"[""A Patrician""]"
tt0001042	1	nm0294276	director	""	""
tt0001042	2	nm0378408	producer	producer	""
tt0001043	1	nm0294276	director	""	""
tt0001044	10	nm0041858	actor	""	""
tt0001044	1	nm0921980	actor	""	"[""Will Sanderson - The Son""]"
tt0001044	2	nm0697944	actor	""	"[""The Father""]"
tt0001044	3	nm0376829	actress	""	"[""The Mother""]"
tt0001044	4	nm0681933	actress	""	"[""Mary Clark""]"
tt0001044	5	nm0000428	director	""	""
tt0001044	6	nm0560943	writer	novel	""
tt0001044	7	nm0005658	cinematographer	""	""
tt0001044	8	nm0555522	cinematographer	""	""
tt0001044	9	nm0813603	actor	""	"[""The Employer""]"
tt0001045	1	nm0621051	actress	""	""
tt0001045	2	nm2938053	actor	""	""
tt0001045	3	nm0285242	actor	""	""
tt0001045	4	nm0000636	writer	"play ""A Midsummer Night's Dream"""	""
tt0001046	10	nm0492757	actress	""	"[""Second Woman""]"
tt0001046	1	nm0642722	actor	""	"[""Somniferous Sam - The Tramp""]"
tt0001046	2	nm0784407	actor	""	"[""The Gentleman""]"
tt0001046	3	nm0277411	actress	""	""
tt0001046	4	nm0366008	actor	""	"[""In Fight""]"
tt0001046	5	nm0000428	director	""	""
tt0001046	6	nm0005658	cinematographer	""	""
tt0001046	7	nm0555522	cinematographer	""	""
tt0001046	8	nm0376829	actress	""	"[""First Woman""]"
tt0001046	9	nm0424530	actor	""	"[""In Fight""]"
tt0001047	1	nm0001908	actor	""	"[""Tom 'Bud' Wilson""]"
tt0001047	2	nm0675241	actress	""	"[""Lola Gonzalez""]"
tt0001047	3	nm0161366	actor	""	"[""Pedro Mayos""]"
tt0001048	1	nm0294276	director	""	""
tt0001048	2	nm0378408	producer	producer	""
tt0001049	10	nm1834127	actress	""	"[""Palle""]"
tt0001049	1	nm0104856	actor	""	"[""Tam""]"
tt0001049	2	nm0251436	actor	""	""
tt0001049	3	nm0280746	actress	""	""
tt0001049	4	nm0526190	actor	""	"[""Gøngehøvdingen""]"
tt0001049	5	nm0022607	director	""	""
tt0001049	6	nm0535230	cinematographer	""	""
tt0001049	7	nm5188470	actor	""	"[""Ib""]"
tt0001049	8	nm5217890	actor	""	"[""Mogens Krabbe""]"
tt0001049	9	nm0762935	actress	""	""
tt0001050	10	nm0043018	actor	""	"[""At Party""]"
tt0001050	1	nm0519310	actress	""	"[""Mary Rollins""]"
tt0001050	2	nm0424530	actor	""	"[""Reverend John Stanton""]"
tt0001050	3	nm0910400	actor	""	"[""Mary's Father""]"
tt0001050	4	nm0288616	actor	""	"[""Mary's Brother""]"
tt0001050	5	nm0000428	director	""	""
tt0001050	6	nm0853193	writer	writer	""
tt0001050	7	nm0005658	cinematographer	""	""
tt0001050	8	nm0115524	actress	""	"[""The Concerned Mother""]"
tt0001050	9	nm0704334	actor	""	"[""The Drunken Son""]"
tt0001051	1	nm0063413	director	""	""
tt0001051	2	nm0550220	director	""	""
tt0001052	10	nm0173994	actor	""	"[""Member of Suicide Club""]"
tt0001052	1	nm0949133	actor	""	"[""The Chosen One""]"
tt0001052	2	nm0581499	actress	""	"[""The Woman""]"
tt0001052	3	nm0043018	actor	""	"[""Member of Suicide Club""]"
tt0001052	4	nm0185803	actor	""	""
tt0001052	5	nm0000428	director	""	""
tt0001052	6	nm0829044	writer	"short story ""The Suicide Club"""	""
tt0001052	7	nm0940488	writer	""	""
tt0001052	8	nm0005658	cinematographer	""	""
tt0001052	9	nm0555522	cinematographer	""	""
tt0001053	10	nm0704334	actor	""	""
tt0001053	1	nm0424530	actor	""	"[""Paul Hiller""]"
tt0001053	2	nm0502701	actress	""	"[""Paul's Fiancée - the Jilted One""]"
tt0001053	3	nm0534221	actress	""	"[""Alice Baross - the Second Fiancée""]"
tt0001053	4	nm0288616	actor	""	"[""Alice's Father""]"
tt0001053	5	nm0000428	director	""	""
tt0001053	6	nm0005658	cinematographer	""	""
tt0001053	7	nm0366008	actor	""	"[""On the Bridge""]"
tt0001053	8	nm0601698	actor	""	""
tt0001053	9	nm0681933	actress	""	""
tt0001054	1	nm0681933	actress	""	"[""Alice""]"
tt0001054	2	nm0456804	actor	""	"[""Alice's Father""]"
tt0001054	3	nm0704334	actor	""	"[""Frank""]"
tt0001054	4	nm0492757	actress	""	"[""Alice's Sister""]"
tt0001054	5	nm0000428	director	""	""
tt0001054	6	nm0005658	cinematographer	""	""
tt0001055	1	nm0001908	actor	""	""
tt0001056	1	nm0294276	director	""	""
tt0001056	2	nm0378408	producer	producer	""
tt0001057	1	nm0186345	actor	""	""
tt0001057	2	nm0001908	actor	""	""
tt0001058	10	nm0601698	actor	""	""
tt0001058	1	nm0681933	actress	""	"[""Nellie""]"
tt0001058	2	nm0456804	actor	""	"[""A Simple Farmer Lad""]"
tt0001058	3	nm0288616	actor	""	"[""A Handsome Dressy Chap""]"
tt0001058	4	nm0424530	actor	""	"[""The Hunter""]"
tt0001058	5	nm0000428	director	""	""
tt0001058	6	nm0005658	cinematographer	""	""
tt0001058	7	nm0681931	actress	""	"[""Nellie's Friend""]"
tt0001058	8	nm0455237	actress	""	"[""Extra""]"
tt0001058	9	nm0492757	actress	""	"[""Extra""]"
tt0001059	1	nm0826298	director	""	""
tt0001060	10	nm0424530	actor	""	"[""At the Hotel""]"
tt0001060	1	nm0704334	actor	""	"[""Harry""]"
tt0001060	2	nm0681933	actress	""	"[""Bessie""]"
tt0001060	3	nm0125164	actor	""	"[""At the Hotel""]"
tt0001060	4	nm0185803	actor	""	"[""At the Hotel""]"
tt0001060	5	nm0000428	director	""	""
tt0001060	6	nm0005658	cinematographer	""	""
tt0001060	7	nm0555522	cinematographer	""	""
tt0001060	8	nm0173994	actor	""	""
tt0001060	9	nm0366511	actress	""	"[""Salvation Army Member""]"
tt0001061	10	nm0173994	actor	""	"[""In Group""]"
tt0001061	1	nm0704334	actor	""	"[""Harry""]"
tt0001061	2	nm0681933	actress	""	"[""Bessie""]"
tt0001061	3	nm0456804	actor	""	"[""The Father""]"
tt0001061	4	nm0115524	actress	""	"[""The Mother""]"
tt0001061	5	nm0000428	director	""	""
tt0001061	6	nm0853193	writer	writer	""
tt0001061	7	nm0005658	cinematographer	""	""
tt0001061	8	nm0383528	cinematographer	""	""
tt0001061	9	nm0125164	actor	""	"[""In Group""]"
tt0001062	10	nm0409390	actor	""	"[""Theatre Audience""]"
tt0001062	1	nm0038106	actress	""	"[""Theatre Audience""]"
tt0001062	2	nm0173994	actor	""	"[""Theatre Audience""]"
tt0001062	3	nm0277411	actress	""	"[""Woman with Largest Hat""]"
tt0001062	4	nm0311375	actor	""	"[""Theatre Audience""]"
tt0001062	5	nm0000428	director	""	""
tt0001062	6	nm0104506	composer	""	""
tt0001062	7	nm0005658	cinematographer	""	""
tt0001062	8	nm0366008	actor	""	"[""Theatre Audience""]"
tt0001062	9	nm0376829	actress	""	"[""Theatre Audience""]"
tt0001063	1	nm0376829	actress	""	"[""The Mother""]"
tt0001063	2	nm0038106	actress	""	"[""A Daughter""]"
tt0001063	3	nm0922044	actress	""	"[""A Daughter""]"
tt0001063	4	nm0492757	actress	""	"[""The Maid""]"
tt0001063	5	nm0000428	director	""	""
tt0001063	6	nm0005658	cinematographer	""	""
tt0001063	7	nm0555522	cinematographer	""	""
tt0001063	8	nm0102858	actress	""	""
tt0001064	10	nm0185803	actor	""	"[""At the Ball"",""At the Soiree""]"
tt0001064	1	nm0456804	actor	""	"[""Mr. Nostrand""]"
tt0001064	2	nm0502701	actress	""	"[""Mrs. Nostrand""]"
tt0001064	3	nm0214651	actress	""	"[""The Nostrand Child""]"
tt0001064	4	nm0115524	actress	""	"[""The Nurse""]"
tt0001064	5	nm0000428	director	""	""
tt0001064	6	nm0853193	writer	writer	""
tt0001064	7	nm0005658	cinematographer	""	""
tt0001064	8	nm0629589	actor	""	"[""The Doctor""]"
tt0001064	9	nm0038106	actress	""	""
tt0001065	10	nm0376829	actress	""	"[""Wife""]"
tt0001065	1	nm0697944	actor	""	"[""Tim Noonan""]"
tt0001065	2	nm0492757	actress	""	"[""Mary Flinn""]"
tt0001065	3	nm0424530	actor	""	"[""Policeman""]"
tt0001065	4	nm0502701	actress	""	"[""Landlady""]"
tt0001065	5	nm0000428	director	""	""
tt0001065	6	nm0005658	cinematographer	""	""
tt0001065	7	nm0555522	cinematographer	""	""
tt0001065	8	nm0642722	actor	""	"[""Factory Superintendent"",""In Police Station"",""Superintendent""]"
tt0001065	9	nm0409390	actor	""	"[""Husband""]"
tt0001066	1	nm0421945	actress	""	""
tt0001066	2	nm5227669	actress	""	""
tt0001066	3	nm0488932	actor	""	""
tt0001066	4	nm0333175	cinematographer	""	""
tt0001067	10	nm0262757	actor	""	"[""The Stage Manager""]"
tt0001067	1	nm0424530	actor	""	"[""Paul Redmond""]"
tt0001067	2	nm0681933	actress	""	"[""Agnes Halley""]"
tt0001067	3	nm0364516	actress	""	"[""Agnes' Mother (unconfirmed)""]"
tt0001067	4	nm1013170	actor	""	"[""The Church Organist""]"
tt0001067	5	nm0000428	director	""	""
tt0001067	6	nm0005658	cinematographer	""	""
tt0001067	7	nm0555522	cinematographer	""	""
tt0001067	8	nm0629589	actor	""	"[""The Manager""]"
tt0001067	9	nm0115524	actress	""	"[""The Housekeeper""]"
tt0001068	1	nm0185426	director	""	""
tt0001068	2	nm0870831	cinematographer	""	""
tt0001069	1	nm0185426	director	""	""
tt0001069	2	nm0870831	cinematographer	""	""
tt0001070	1	nm0194088	director	""	""
tt0001071	10	nm0173994	actor	""	"[""Bartender""]"
tt0001071	1	nm0424530	actor	""	"[""Bob Spaulding""]"
tt0001071	2	nm0587097	actor	""	"[""Mr. Rankin""]"
tt0001071	3	nm0038106	actress	""	"[""Mrs. Rankin""]"
tt0001071	4	nm0492757	actress	""	"[""The Maid"",""In Factory""]"
tt0001071	5	nm0000428	director	""	""
tt0001071	6	nm0005658	cinematographer	""	""
tt0001071	7	nm0555522	cinematographer	""	""
tt0001071	8	nm0043018	actor	""	"[""In Factory""]"
tt0001071	9	nm0102858	actress	""	""
tt0001072	10	nm0642722	actor	""	"[""Man in Bar""]"
tt0001072	1	nm0910400	actor	""	"[""Arthur Rogers""]"
tt0001072	2	nm0502701	actress	""	"[""Helen Rogers""]"
tt0001072	3	nm0250676	actress	""	"[""The Rogers' Daughter""]"
tt0001072	4	nm0849803	actor	""	"[""The Rogers' Son""]"
tt0001072	5	nm0000428	director	""	""
tt0001072	6	nm0115524	actress	""	"[""The Maid""]"
tt0001072	7	nm0125164	actor	""	"[""The Attorney"",""Man in Bar""]"
tt0001072	8	nm1013170	actor	""	"[""Old Man""]"
tt0001072	9	nm0185803	actor	""	"[""Man in Bar""]"
tt0001073	1	nm0294276	director	""	""
tt0001073	2	nm0378408	producer	producer	""
tt0001074	10	nm0366511	actress	""	"[""At Gallery""]"
tt0001074	1	nm0681933	actress	""	"[""Nellie Burt""]"
tt0001074	2	nm0424530	actor	""	"[""Billy Hart""]"
tt0001074	3	nm0642722	actor	""	"[""Hans Kessler""]"
tt0001074	4	nm0629589	actor	""	"[""Gallery Owner""]"
tt0001074	5	nm0000428	director	""	""
tt0001074	6	nm0853193	writer	writer	""
tt0001074	7	nm0005658	cinematographer	""	""
tt0001074	8	nm0115524	actress	""	"[""Buyer""]"
tt0001074	9	nm0262757	actor	""	"[""At Gallery""]"
tt0001075	10	nm1013170	actor	""	""
tt0001075	1	nm0173994	actor	""	"[""The Man with the Satchel""]"
tt0001075	2	nm0102858	actress	""	""
tt0001075	3	nm0366008	actor	""	"[""In Crowd""]"
tt0001075	4	nm0376829	actress	""	"[""In Crowd""]"
tt0001075	5	nm0000428	director	""	""
tt0001075	6	nm0005658	cinematographer	""	""
tt0001075	7	nm0555522	cinematographer	""	""
tt0001075	8	nm0424530	actor	""	"[""First Thief""]"
tt0001075	9	nm0492757	actress	""	"[""In Crowd""]"
tt0001076	1	nm0173994	actor	""	"[""The Tramp""]"
tt0001076	2	nm0376829	actress	""	"[""The Assaulted Woman""]"
tt0001076	3	nm0492757	actress	""	"[""The Nanny""]"
tt0001076	4	nm0601698	actor	""	"[""The Passerby"",""In Fight""]"
tt0001076	5	nm0000428	director	""	""
tt0001076	6	nm0377958	writer	story	""
tt0001076	7	nm0784407	writer	writer	""
tt0001076	8	nm0005658	cinematographer	""	""
tt0001076	9	nm0555522	cinematographer	""	""
tt0001077	10	nm0214651	actress	""	"[""Museum Visitor""]"
tt0001077	1	nm0587097	actor	""	"[""The Father""]"
tt0001077	2	nm0424530	actor	""	"[""The First Brother""]"
tt0001077	3	nm0697944	actor	""	"[""The Second Brother""]"
tt0001077	4	nm0038106	actress	""	"[""Museum Visitor""]"
tt0001077	5	nm0000428	director	""	""
tt0001077	6	nm0853193	writer	writer	""
tt0001077	7	nm0555522	cinematographer	""	""
tt0001077	8	nm0043018	actor	""	"[""In Bar""]"
tt0001077	9	nm0173994	actor	""	"[""Museum Visitor""]"
tt0001078	10	nm0376829	actress	""	"[""Party Guest""]"
tt0001078	1	nm0502701	actress	""	"[""Marion Francis""]"
tt0001078	2	nm0587097	actor	""	"[""Henry Lawrence""]"
tt0001078	3	nm0681933	actress	""	"[""Marion's Sister""]"
tt0001078	4	nm0043018	actor	""	"[""Party Guest""]"
tt0001078	5	nm0000428	director	""	""
tt0001078	6	nm0005658	cinematographer	""	""
tt0001078	7	nm0102858	actress	""	""
tt0001078	8	nm0173994	actor	""	"[""Party Guest""]"
tt0001078	9	nm0366008	actor	""	""
tt0001079	10	nm0163559	actor	""	"[""At Reception""]"
tt0001079	1	nm0288616	actor	""	"[""John Randolph""]"
tt0001079	2	nm0115524	actress	""	"[""Molly Randolph""]"
tt0001079	3	nm0874364	actress	""	"[""The Second Mrs. Randolph""]"
tt0001079	4	nm0366511	actress	""	"[""Servant"",""At Party"",""At Reception""]"
tt0001079	5	nm0000428	director	""	""
tt0001079	6	nm0005658	cinematographer	""	""
tt0001079	7	nm0642722	actor	""	"[""Servant""]"
tt0001079	8	nm0601698	actor	""	"[""A Friend"",""At Reception""]"
tt0001079	9	nm0076202	actress	""	""
tt0001080	1	nm0294276	director	""	""
tt0001081	1	nm0185426	director	""	""
tt0001081	2	nm0870831	cinematographer	""	""
tt0001082	1	nm0023107	director	""	""
tt0001083	10	nm0502701	actress	""	"[""The Judge's Companion""]"
tt0001083	1	nm0697944	actor	""	"[""Taddeo Ferrari""]"
tt0001083	2	nm0681933	actress	""	"[""Giannina - Taddeo's Daughter""]"
tt0001083	3	nm0601698	actor	""	"[""Sandro""]"
tt0001083	4	nm0587097	actor	""	"[""Filippo - the Cripple""]"
tt0001083	5	nm0000428	director	""	""
tt0001083	6	nm0178934	writer	story	""
tt0001083	7	nm0940488	writer	writer	""
tt0001083	8	nm0005658	cinematographer	""	""
tt0001083	9	nm0813603	actor	""	"[""The Judge""]"
tt0001084	10	nm0173994	actor	""	"[""At Party Meeting""]"
tt0001084	1	nm0424530	actor	""	"[""Herr von Schmidt""]"
tt0001084	2	nm0502701	actress	""	"[""Helen Walker""]"
tt0001084	3	nm0288616	actor	""	"[""Mr. Walker""]"
tt0001084	4	nm0587097	actor	""	"[""Communist Leader""]"
tt0001084	5	nm0000428	director	""	""
tt0001084	6	nm0005658	cinematographer	""	""
tt0001084	7	nm0555522	cinematographer	""	""
tt0001084	8	nm0038106	actress	""	"[""At Party Meeting""]"
tt0001084	9	nm0102858	actress	""	""
tt0001085	10	nm0681927	actor	""	"[""Child""]"
tt0001085	1	nm0629589	actor	""	"[""The Father""]"
tt0001085	2	nm0115524	actress	""	"[""The Mother""]"
tt0001085	3	nm0038106	actress	""	""
tt0001085	4	nm0214651	actress	""	"[""Child""]"
tt0001085	5	nm0000428	director	""	""
tt0001085	6	nm0005658	cinematographer	""	""
tt0001085	7	nm0250676	actress	""	"[""Child""]"
tt0001085	8	nm0354803	actress	""	"[""Child""]"
tt0001085	9	nm0642722	actor	""	"[""Postman (unconfirmed)""]"
tt0001086	10	nm0424530	actor	""	"[""Juror""]"
tt0001086	1	nm0456804	actor	""	"[""George Wallace""]"
tt0001086	2	nm0250676	actress	""	"[""George Wallace's Daughter""]"
tt0001086	3	nm0043018	actor	""	"[""Juror""]"
tt0001086	4	nm0163559	actor	""	""
tt0001086	5	nm0000428	director	""	""
tt0001086	6	nm0005658	cinematographer	""	""
tt0001086	7	nm0555522	cinematographer	""	""
tt0001086	8	nm0173994	actor	""	"[""Juror""]"
tt0001086	9	nm0369058	actor	""	"[""Juror""]"
tt0001087	1	nm0453059	actor	""	"[""George Washington""]"
tt0001087	2	nm0401967	actor	""	""
tt0001087	3	nm0448682	actor	""	""
tt0001087	4	nm0790360	actor	""	""
tt0001087	5	nm0085865	director	""	""
tt0001087	6	nm0949403	actress	""	""
tt0001087	7	nm0949648	actor	""	""
tt0001088	10	nm0115524	actress	""	""
tt0001088	1	nm0424530	actor	""	"[""Tom Hearne""]"
